title,year,month,activity,link,conference,description
A Visit from the Future: Uncanny Learning,2009,September,Presentation,http://archive.nmc.org/node/7226,New Media Consortium,"NMC, what is the frequency? It's at 66.6 way off the AM dial. Broadcasting live from his secret studio location somewhere in the Arizona desert is a special episode of Art Spell's syndicated radio show ""Uncanny Learning."" Art's guest will be John Titan, the time-traveling visionary visiting us from the year 2026. Art, John and an array of enigmatic call-in participants will reveal how the future of education has played out in various alternate universes. Are they crazy, or the only sane people on the airwaves? Will these callers help us alter the future? Can we still save education? Tune in, call in and find out."
School 2.0 - 2010,2010,,Presentation,http://etoolkit.org/etoolkit/,ISTE,"I traveled with other speakers to a number of citites across the United States publicizing the concetp of School 2.0.  <a hre=""http://achayefsky.wordpress.com/2009/05/03/getting-from-here-to-there/"">Here is one person's take on a short version of the full day workshop.</a>  I presented versions of this <a href=""http://bionicteaching.com/?p=841"">presentation</a> on information fluency that eventually evolved into something broader on media literacy, digital literacy, and the increasingly sophisticated ways digital media allows people to manipulate truth.  "
Integrating Computational Thinking into Middle School Curriculum,2010,,Grant,http://www.cs.vt.edu/node/6086,CE21 Planning Grant: NSF,"""Computational thinking (CT) is important in its own right as a key enabler of effective participation in 21st century life---and as an increasingly important underpinning to subject matter learning across the disciplines.  We take an Integrated Approach (IA), to build CT activities into current instructional practices across core middle school curriculum.  We locate nascent CT activities in the existing curriculum, reinforce and develop the overlap between the curricular area and the target CT area, and subsequently reinforce the CT content in a short, reinforcing instructional unit.""
"
#ds106,2010,,Instructor,http://ds106.us/,UMW/Online Community,"I don't know if I qualify as an instructor but I participated in the <a href=""http://bavatuesdays.com/a-ds106-wish-list/"">planning of DS106</a> as well as in assignment creation, presented to the class, and participated as a <a href=""http://bionicteaching.com/?cat=238"">student.</a>"
Instructional Technology Applications for the Classroom 2010,2010,,Instructor,http://spcs.Richmond.edu/degrees/education.html,University of Richmond - EDUC 538U ,"Theory and pedagogy of integrating common and practical instructional technologies within the teaching and learning environment and across the curriculum. Includes current practice, skill building and exploration of resources to better prepare educators to fully understand the potential, the consequences, and future uses of instructional technology to address the needs of all learners."
Technology Integration Across the Curriculum,2010,February,Workshop,http://www.beachwoodschools.org/,"Beachwood City Schools, OH",This was an all day workshop for all of the teachers in Beachwood City Schools to work on Technology Integration and 21st Century Skills.
Henrico 21,2010,June,Presentation,http://blogs.henrico.k12.va.us/21,Greater Richmond Area Educational Technology Consortium,A presentation on Henrico 21.
Best Practice and Community - How to share and promote 21st century learning ,2010,June,Presentation,http://edcampcville.pbworks.com/w/page/27296246/Best%20Practice%20and%20Community%20-%20How%20to%20share%20and%20promote%2021st%20century%20learning,EdCamp C'Ville,"This was part of an unconference held in Charlottesville, VA.  The focus was on 21st century learning and community."
Technology in the History Classroom,2010,August,Workshop,http://www.vcs.k12.nc.us/,"Vance County, NC",This was a full day workshop focused on integrating technology in the high school history classroom.
Henrico 21 - 21st Century Teaching and Learning,2010,December,Presentation,https://sites.google.com/site/vste2010/,Virginia Institute for Technology in Education,"Henrico 21 focuses on changing the culture surrounding 21st century learning. Participants will learn about the Teaching Integration Progression chart, our 21st century rubric, the scope and sequence of this multi-year project, and the ""event"" that grew out of this vision."
From Traditional Textbooks to Digital & Open Content,2011,November,Presentation,http://www.setda.org/web/guest/2011topics,State Educational Technology Directors' Leadership Summit,"Participants will discuss the future of instructional materials and identify best practices and policies to help district and school officials make a successful transition to digital content to benefit all students. The opportunities for flexible, customizable, and robust content are limitless in school reform initiatives. This session will also be the launching point for a SETDA white paper on Digital and Open Content."
"Common Tools, Uncommon Uses",2011,December,Presentation,http://bionicteaching.com/?p=2051,Virginia Society for Technology in Education,"Take a sideways look at educational uses for common tools and websites. Projectile motion in Word? Google forms for a choose-your-own-adventure novel? Yep. Stuff like that.
"
MOOCs: Defined and Applied to K12,2011,December,Presentation,http://bionicteaching.com/?p=2051,Virginia Society for Technology in Education,"Massive Online Open Courses are catching on. What are they and what can K12 teachers learn from them? Both professional development and concrete classroom applications will be explored
"
iPads in Early Elementary  ,2011,December,Presentation,http://bionicteaching.com/?p=2051,Virginia Society for Technology in Education,"Henrico just deployed 4 iPads in every K/1st grade classroom. Why’d we do that? What Apps are we using? How are we managing devices? How are we documenting results?
"
OER Materials in K12,2011,January,Presentation,http://www.Richmondsunlight.com/bill/2012/sb45/,Open Curriculum Reivew Board,"""In its new role, the Open Education Curriculum Board shall advise the Governor and the Board of Education on the creation, collection, categorization, distribution, and licensing of open educational resources and the integration of those resources with Virginia's Standards of Learning."" I tried to help them understand the varying nature of OER materials and to define what Henrico was doing in terms of CC publishing and OER related activities."
Strategies for Digital Content Success,2011,March,Webinar,http://www.centerdigitaled.com/archived-webinars/?id=+b3dac6efaeba433c89b0394df5ee8aa8,Center for Digital Education - Digital Content Strategy Guide,May require you to click through an ad to get to the recorded webinar.  This was a presentation on digital content in K12.
Reflective Friends and 21st Century Assessment,2011,March,Webinar,http://blogs.henrico.k12.va.us/reflectivefriends,Henrico 21 and Reflective Friends with NY DOE,Part of an ongoing series of webinars and conference calls aimed at sharing Henrico's model for professional development and evaluation of 21st century skills.
Henrico 21 VSTE,2011,April,Presentation,http://blogs.henrico.k12.va.us/21,VSTE,Part of an ongoing series of webinars and conference calls aimed at sharing Henrico's model for professional development and evaluation of 21st century skills.
In Due Season . . .,2011,May,Plenary Speaker,http://blog11.facultyacademy.org/2011/03/23/in-due-season-we-shall-reap/,UMW Faculty Academy,"The result of 12 years of formal education enters your classroom each fall.  These students are influenced by more than the Internet and video games. Far more powerful is their conceptualization of education and the skills and knowledge they have gained in those 12 years.  Since 2002, No Child Left Behindhas played a major role in shaping the educational experiences of the students you see today. . . ."
Blackboard K12 Advisory Committee,2011,July,Panelist,http://www.blackboard.com/BbWorld/home.aspx,Blackboard World,"K12 panelist on digital content, the LMS, and the future of data analytics in K12."
"Change, Scale, and iPads",2011,July,Presentation,http://mobilesummer2011.vste.org/?p=215,VSTE Mobile Learning,"Henrico County will be adding 1,500 iPads to K and 1st grade classrooms this coming school year.  A number of questions come up with an initiative like this:
<ul><li>What factors led to this decision?</li>
<li>How will we manage this deployment?</li>
<li>How will we gauge success?</li></ul>
We’ll discuss the answers we came up with as well as many other questions which have yet to be answered."
Escaping the Cave,2011,October,Presentation,http://www.youtube.com/watch?v=70oLrT4jlOk,EdLeader21,"Like analyzing the shadows in Plato’s Cave, 21st century skills in our district were too often based on perception rather than reality. In order to facilitate real change we had break out of the cave by concretely defining and then measuring 21st century skills in the classroom.  Shared understanding and then data around that understanding created the ability to achieve real growth.

"
Wordpress in Education,2011,November,Panelist,http://2011.Richmond.wordcamp.org/speakers/#tom-woodward,WordCamp RVA,"Frank Fitzpatrick does double-duty as a WP super-user AND a teacher in Henrico County. He has rounded up a panel of experts for a discussion on using WP as a tool for students, educators, and administrators. The lessons extend beyond the classroom and can be applied in companies and organizations."
VSTE Technology Leader of the Year,2011,January,Award,http://www.vste.org/index/awards/2011_winners,Virginia Society for Technology in Education,"Mr. Woodward is described by his colleagues as an inspirational leader with a clear vision of 21st century teaching and learning.  He has been instrumental in putting his vision into practice in Henrico County by working towards ways to clarify, document and assess 21st century skills in the classroom through the development of the Teaching Innovation Progression Chart and providing recognition and support to teachers for their work in creating high quality 21st century lessons through the <a href=""http://blogs.henrico.k12.va.us/21"">Henrico 21</a> effort. "
Excellence in Education,2011,,Award,http://www.soe.vt.edu/news_events/exc_edu_winners_2011.html,Virginia Tech,"""Henrico 21 encouraged teachers to submit their best 21st century lessons for review. A panel was assembled to review over 600 submissions. Videos of the lessons and interviews with the finalists were shown during the awards ceremony where teachers received monetary prizes donated by business partners. More importantly, these lessons/videos now serve as an interactive repository for the school district."""
Instructional Technology Applications for the Classroom 2011,2011,,Instructor,http://spcs.Richmond.edu/degrees/education.html,University of Richmond - EDUC 538U ,"Theory and pedagogy of integrating common and practical instructional technologies within the teaching and learning environment and across the curriculum. Includes current practice, skill building and exploration of resources to better prepare educators to fully understand the potential, the consequences, and future uses of instructional technology to address the needs of all learners."
The World’s Craziest Educational Videos featuring ds106,2011,,Presentation,http://bavatuesdays.com/k12-online-conference-disclaimer-credits-resources/,Online K12 Conference,A DS106 presentation framed through video and told by a variety of participants.
Blackboard Data Analytics,2011,,Advisory Board,http://www.blackboard.com/platforms/analytics/overview.aspx,Blackboard,Participated in the Blackboard Analytics advisory committee.
Uncommon Uses for Common Software,2012,January,Presentation,https://sites.google.com/a/henrico.k12.va.us/unconference/,Henrico Unconference,"Facilitated three sessions during Henrico County's first ever unconference event; one was a version of the ""Uncommon Tools"" presentation that I did at VSTE that year."
Bridges: Communities of Practice K-16,2012,January,Presentation,http://educon24.org/conversations/Building_Bridges-Communities_of_Practice_from_K-16,EduCon,"Faculty in higher education regularly express their concern that incoming students are not adequately prepared for college learning, yet they rarely attempt to understand the current pressures and challenges that face K-12 educators. K-12 educators are increasingly pressured to prepare more and more students for higher education, yet they rarely have opportunities to engage in deeper conversations with college faculty about what college teaching and learning is like today."
Out of Print: Reimagining the K12 Textbook in a Digital Age,2012,April,Presentation,http://www.setda.org/web/guest/outofprint,Digital Content Press Conference,"Out of Print highlights the sea change underway in the multi-billion dollar U.S. K-12 instructional materials market enabled by recent technology and intellectual property rights innovations. With a focus on the ultimate impact on student learning, the report provides examples of lessons learned from recent digital and open (OER) content initiatives by leading states and school districts and offers comprehensive recommendations for government, industry, and educators to ensure that the inevitable shift to digital instructional materials improves student achievement and engagement and efficiently uses scarce resources.
"
21st Century Assessment and PD,2012,April,Webinar,http://blogs.henrico.k12.va.us/21,"Arlington, OH",Part of an ongoing series of webinars and conference calls aimed at sharing Henrico's model for professional development and evaluation of 21st century skills.
Finalist for RichTech 2012 Educator of the Year,2012,May,Award,http://www.richtech.com/,RichTech,"The Greater Richmond Technology Council is a member driven, business focussed organization developed to promote the success of the regional technology companies."
The Broadband Imperative,2012,July,Webinar,http://www.setda.org/web/guest/connectededucators,State Educational Technology Directors' Webinar,"Learn about SETDA’s recently released The Broadband Imperative report that provides an up-to-date assessment of access to broadband by students and teachers (in and out of schools); current trends driving the need for more broadband in teaching, learning and school operations; and specific recommendations for the broadband capacity needed to ensure all students have access to the tools and resources they need to be college and career ready by 2014-15 and beyond. 
"
Dell Education Think Tank,2012,September,Panelist,http://content.dell.com/us/en/corp/d/secure/innovation-in-education,Dell: MIT Think Tank,"On Thursday, September 13, 2012 Dell hosted A Day of Innovation in Education in Cambridge, MA at the MIT campus. Activities began with Dell’s fourth Social Think Tank focusing on education, hosted in partnership with the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL). The goal for this Think Tank was to create an open, honest and collaborative forum with 20+ leaders in learning and innovation including students, parents, bloggers and school administrators. The discussion was guided by the moderator, Michael Horn, Executive Director of Education at Innosight Institute."
21st Century Education,2012,September,Webinar,http://blogs.henrico.k12.va.us/21,21st Century Education: MN School District,Part of an ongoing series of webinars and conference calls aimed at sharing Henrico's model for professional development and evaluation of 21st century skills.
OER Resources for K12,2012,October,Presentation,http://www.vmi.edu/Conferences/STEM/STEM_2012/Speakers/,VMI STEM Conference,"A presentation on OER materials with a focus on breaking down some assumptions about what constitutes education materials.  A blog post is available <a href=""http://bionicteaching.com/?p=2266"">here.</a>"
Digital Content Transition,2012,October,Panelist,http://www.centerdigitaled.com/events/Large-District-Leadership-Group-and-K-12-DELC-2012.html,Center for Digital Education,"The advent of digital textbooks and the proliferation of digital content on the Internet and elsewhere are enabling students and teachers to take learning to new heights. This session will explore the legislation – both emerging and existing laws – that help promote the use of digital textbooks and any obstacles that exist during this shifting landscape of learning. Panelists will share where they are in the shift to digital content and the best practices that make for a successful transition – including leadership advice, professional development tips, student adoption stories and more."
It Could be Beautiful,2012,December,Presentation,http://bionicteaching.com/?p=2401,Virginia Society for Technology in Education,This was an Ignite style session where I expressed my own personal frustration with educational technology at scale and I then attempted to offer some redeeming alternatives actively being pursued by others. 
Digital Workflows,2012,December,Presentation,,Virginia Society for Technology in Education,
Internet Culture as Digital Content,2012,December,Presentation,http://bionicteaching.com/?p=2394,Virginia Society for Technology in Education,This presentation is essentially a pitch for the idea that we ought to be looking at the world with open eyes and paying attention to the content that is exciting to ourselves and others- the things we read/watch/listen to without being coerced.
K12 Advisory Committee,2012,December,Panelist,http://dellworld.com/,Dell World K12 Advisory Committee,"""Dell World 2012 brought together industry visionaries and top technology professionals for powerful conversations about IT solutions to business issues.""  They also brought together a number of educators and had powerful conversations about technology integration."
Making Time: Deeper Learning Despite SOLs,2012,March,Keynote,http://merc.soe.vcu.edu/presentations.html,Metropolitan Educational Research Consortium,"A presentation for the Metropolitan Educational Research Consortium. The slide deck is available <a href=""http://merc.soe.vcu.edu/Presentations/2012%20Conference/Tom%20Woodward-Keynote.pdf"">here.</a>"
Now is the Time,2012,January,Author,http://bionicteaching.com/wp-content/uploads/2012/02/NowistheTime_Woodward_JanFeb2012s.pdf,Knowledge Quest,Article for the American Association of School Librarians' Journal Vol. 40
Social Media Primer ,2012,,Presentation,http://bionicteaching.com/?p=2280,PTA Meetings,"This is a PTA presentation for parents where I argue against polarizing social media. It’s not black and white. While social media is not responsible for the decay of morals in America, it is also not the magic elixir that will heal all of our ills. I will say that social media is a powerful tool that opens up opportunities to increase the consequences of your energies and actions for good or bad.

"
Dell Personalized Learning Platform,2012,,Advisory Board,http://www.zdnet.com/blog/education/top-10-ed-tech-predictions-for-2011/4382,Dell,Participated in the Dell Personalized Learning Platform advisory committee. 
quo·tid·i·an,2013,February,Keynote,http://www.vste.org/index/learn/virtualva2013,Virtual VA,"Education seems to be stuck in an endless cycle of doing old things, switching the media and pretending they are new.  Inspiration, engagement, and education all flourish on the Internet. And they do so without legally enforced attendance or grades. What can we learn from them? How can we harness all of this effort?

The closing keynote for the VSTE Virtual VA conference is archived at the link below."
Animated Gif Variety Show,2013,February,Webinar,http://bavatuesdays.com/how-i-stopped-worrying-and-learned-to-love-the-gif/,#ETMOOC,"""This is a session that aired live on Tuesday, February 5th, 2013 for Alec Couros's #etmooc. The session is a discussion of how the animated GIF came to define an online digital storytelling class back in the Winter of 2010, and eventually take the internet by storm. The question asked an analyzed in this 1 hour and 10 minute session are why the GIF? Whence it came? How is it storytelling? Why the cultural fascination? And where to next. Variety shows participants include Tom Woodward, Michael Branson Smith, Brian Lamb, and Zack Dowell. Special thanks to Pete Rorabaugh for organizing the session, and apologies for lag issues during the live session.
"
1:1 Laptops PD Structures,2013,February,Webinar,http://www.passaic-city.k12.nj.us/education/components/scrapbook/default.php?sectiondetailid=5545&&PHPSESSID=1f610c38d77dfc26c066aafe5ca2be0f,"Pasaic City Schools, NJ","This was a conversation targeted around how a 1:1 laptop initiative impacts instruction and how you build structures that support innovative uses.  Passaic NJ, will be recieving Google Chromebooks in the near future and were interested in a conversation around how we implemented Reflective Friends, Henrico 21, and other professional development elements."
Governor's School DOE Evaluation,2013,February,Accreditation,http://www.doe.virginia.gov/instruction/governors_school_programs/index.shtml,Maggie L Walker Govenor's School,I was part of the Maggie L Walker Govenor's School evaluation team.  My focus was on evaluating the role and impact of technology in the school.
The Internet as Inspiration,2013,March,Presentation,http://www.e-clubhouse.org/sites/Richmondwb/,Lion's Club Meeting,"This was my second conversation with the Richmond Area Lion's Club around social media, the Internet, and the potential the two create for interesting things to occur."
Beyond the Textbook,2013,March,Focus Group,http://beyondthetextbook13.eventbrite.com/,"Discovery Headquarters, MD","Part of ""in-depth conversations and brainstorms identifying ideas that aren't just theoritical, but actionable. We have handpicked a forum representing all grade levels, subject areas and roles within the education space. We hope that you will be able to share your unique knowledge and expertise with the group.""  My reflections can be found <a href=""http://bionicteaching.com/?p=2579"">here.</a>"
Curriculum Considerations in a 1:1 Program,2013,March,Webinar,http://engage.intel.com/thread/17331,Intel,"Knowing what to do with your curriculum when you implement a 1:1 program can be a challenging aspect to think about. For example what should you do about digital content? digital textbooks? policy and procedures? What happens to the learning? Is it necessary to have every teacher doing the same thing, on the same day, with children using the same content? How do we address the needs of all children when the content that is available on the Internet comes in all shapes and sizes, all types and at different costs. Where do we begin?

"
Internet Culture as Digital Content,2013,May,Webinar,http://ciievents.wetpaint.com/page/Digital+Content+To+Support+The+Curriculum+-+May+9%2C+2013+%E2%80%93+12%3A30pm+%E2%80%93+3%3A30pm,The Consortium for Interactive Instruction,Digital Content To Support The Curriculum - Focusing on using Internet culture and the production/curation mentality to find interesting and relevant digital content.
Finalist for RichTech 2013 Educator of the Year,2013,May,Award,http://www.richtech.com/,RichTech,"The Greater Richmond Technology Council is a member driven, business focussed organization developed to promote the success of the regional technology companies."
Online Education,2013,April,Panelist,http://merc.soe.vcu.edu/,Metropolitan Educational Research Consortium,Panelist providing insight into current HCPS online instruction as well as potential avenues for growth and long term improvement in online instruction.
SIGOL Forum: MOOCs,2013,June,Panelist,http://slid.es/tomwoodward/ds106,ISTE,This was a panel conversation on MOOCs followed by breakout sessions. My particular focus was on using structural and pedagogical elements of the online environment to increase student power and personalization of the course. 
Personalized Learning,2013,June,Presentation,,ISTE,Pretty much a rapid trip across what convinced me to start blending my classroom in more powerful ways and how I developed sources and workflows to make that action sustainable and enterntaining for me.
Education Week Dinner Panel,2013,June,Panelist,,ISTE,Moderated panel discussion with select school district leaders regarding the biggest challenges educational technology leaders are facing.
Towards an Open Definition of OER,2013,October,Presentation,http://openva.org/,OpenVA,"I've since changed my mind a bit. I still want to push back on the realtively narrow view of OER as textbooks but I see more reasons to stick with openly licensed material. You can see some of the work I previously considered <a href=""http://bionicteaching.com/oer-presentation/"">here.</a>"
Teaching in the Open: Public Pedagogy,2013,October,Panelist,http://openva.org/,OpenVA,"<a href=""http://www.ustream.tv/recorded/39874249"">Video of the conversation</a>, I start around 25:00."
Rethinking Professional Development,2013,December,Presentation,http://vste.org,VSTE 2013,
Opening Up Open Educational Resources,2013,December,Presentation,http://vste.org,VSTE 2013,
The Filtering Effect,2013,December,Panelist,http://vste.org,VSTE 2013,This was a panel conversation on filtering policies and its impact on K12.
"OER: The Good, the Bad, and the Reality",2014,June,Opening Panel,http://contentincontext.org/2014/index.php/program-sessions/509-oer-the-good-the-bad-and-the-reality.html,Content in Context,"Open Educational Resources — digital instructional materials that can be mixed, shared, and are (generally) free — strike terror into the hearts of many educational publishers. As OER gains traction among cash-strapped and increasingly digitally savvy educators, some education companies are trying to make peace with it. At the same time, some educators have found unique twists on using OER and combining it with both paper and commercial resources."
A Non-Definition of OER,2014,May,Presentation,https://wp.vcu.edu/onlinesummit2014/program/,VCU Online Summit,Things labeled “educational” are often in the same category as things made for prisoners. The creators realize the consumers have no choice about what they’re given and provision accordingly. We can do far better than that. There is magic out there. There are amazing things of all types and kinds. It is essential that educators and teachers elevate and expand what they expect out of the world of content. We will look at amazing things. We will rethink what we can do. Our minds will expand and never return to their original dimensions.
An Internet of Possibilities,2014,July,Keynote,http://www.uvawise.edu/cte/TECHSPLASH14,TechSplash 2014,"Opened the conference and led an additional ""photo safari"" workshop."
#ThoughtVectors cMOOC,2014,June,Presentation,https://www.youtube.com/watch?v=ITIoXkyzrYg,New Media Consortium,"NMC presentation on VCU's cMOOC, ""Inquiry and the Craft of Argument,"" a course that launches thought vectors through concept space in search of great questions and artful argument, challenging learners to assemble their own Engelbartian dynamic knowledge repositories as they strive for ""unfettered minds."" The presenters include: Gardner Campbell, Patty Strong, Bonnie Boaz, Ryan Cales, Jessica Gordon, Jon Becker, and Tom Woodward."
Digital Humanities THAT Camp,2014,March,Project,http://augmenting.me/trials/before_after/phpindex.php,THAT Camp,"Created the associated site and documented the historical buildings as part of a digital humanities camp. Details on the construction are available <a href=""http://bionicteaching.com/visualizing-jackson-ward-from-start-to-finish/"">here.</a>"
"Open Pedagogy: Connection, Community, & Transparency",2014,November,Interview,https://campustechnology.com/articles/2014/11/12/open-pedagogy-connection-community-and-transparency.aspx,Campus Technology,An interview on open pedagogy for Campus Technology
Open Pedagogy and Curriculum,2014,,Panelist,http://openva.org/schedule-2/,Open VA,"My reflection on <a href=""http://bionicteaching.com/angles-on-open/"">the presenation</a>."
21st Century Teaching & Learning Center,2015,October,Presentation,http://www.educause.edu/annual-conference/2015/alt-lab-teaching-learning-center-21st-century,Educause,"In the past, centers supporting excellence in teaching and learning tended to follow models of faculty development focusing on incremental change in widely accepted practices. VCU's Academic Learning Transformation Laboratory seeks to change that paradigm. This session will begin with our story thus far. Come help us write our next chapters!

Outcomes: Learn about the changing mission of teaching and learning centers in higher education * Learn how one institution has transformed its approach to supporting teaching and learning * Understand the challenges of leading adaptive change"
Connected Learning,2015,November,Presentation,http://openeducation2015.sched.org/event/49Mc/the-great-vcu-bike-race-book-connected-learning-meets-the-uci-road-world-championships?iframe=no&w=&sidebar=no&bg=no,Open Ed,"Imagine your university was going to close for a week in the first month of the semester because the UCI Road World Championships was overtaking your city. Residential students could stay in their residence halls, but classrooms were to be closed and traveling to campus would be extremely difficult for non-residential students. Next, imagine you are charged with considering how you might turn that situation into one or more learning experience. "
Rapid Building in WordPress,2015,June,Presentation,http://www.nmc.org/2015-nmc-summer-conference-breakout-sessions/#,New Media Consortium,"A campy, meme-ified, high-speed exploration focused on building all kinds of interactive web content with (rather than for) faculty and doing it FAST. Ed tech on speed. Ed tech at speed. Turn ideas into functioning sites in an hour or less. The presenter will go heavy on WordPress and explore flexible and reusable design patterns, magical plugins, and look at examples of sites that have been released into the wild. Beauty, power, data, and towering majesty are at our beck and call. FERPA questions will not be entertained."
Aspirational vs Operational EdTech,2015,May,Keynote,http://bionicteaching.com/uvateach-reflection/,UVA's Innovation in Pedagogy Summit,"As the closing keynote for <a href=""http://cte.virginia.edu/wp-content/uploads/2015/05/Summit-Program-2015.pdf"">UVA's Innovation in Pedagogy Summit</a> I contrasted some things labeled ""educational technology"" with more powerful possiblities. You can see elements of the presentation <a href=""http://bionicteaching.com/uvateach-reflection/"">here.</a>"
Open Tools and Environments,2015,November,Presentation,http://openup.trubox.ca/schedule/,Thompson Rivers University - Canada,"Featured participants: Tom Woodward, Alan Levine, Brian Lamb

We will start the session with a series of short demos of exciting new open tools and environments. Some of these will be WordPress-based, but the sky’s the limit. After that, we will have lots of time to explore these tools in an informal and hands-on workshop. If you ever wanted to play around with cool tools in the company of world-class experts, this is the session for you!"
Indie Ed Tech Design Sprint,2016,March,Project,http://dlrd.davidson.edu/indie-edtech-data-summit/,Indie Ed Tech Design Sprint - Davidson College,Worked with a diverse group of faculty and students towards creating ideas and elements of the University API.
Where Digital Departs,2016,April,Invited Speaker,http://ocpe.vcu.edu/media/ocpe/docs/VCUDigitalLiteracyConferenceInformation2016.pdf,Teaching Literacy in a Digital World,"You can <a href=""http://woodwardtw.github.io/digitallit/"">see the presentation</a> or read my reflection about it <a href=""http://bionicteaching.com/thinking-about-digital-literacy/"">here.</a>"
Campus Technology Innovators Awards,2016,June,Award,http://www.prweb.com/releases/2016/06/prweb13452367.htm,Campus Technology,"The Campus Technology Innovators Awards annually recognize the exemplary colleges and universities, along with their visionary project leadership and technology vendor partners that have used technology in innovative ways to solve campus challenges.

Virginia Commonwealth University 
Project: The Great VCU Bike Race Book "
"The Personal API Path: Steps Towards Nirvana
",2016,November,Presentation,https://openeducation2016.sched.com/event/7lnm/the-personal-api-path-steps-towards-nirvana?iframe=no&w=100%&sidebar=yes&bg=no,Open Education,"Kin Lane, API Evangelist, has long been a traveler on the API path. Tom Woodward has newly come to it. Kin will explain API Nirvana, that it's more a journey than a destination, and Tom will explain the path and patterns of his early progress towards that destination. The use of APIs will range from the practical to the whimsical. The API path is, after all, what you make of it. 

While each person must walk their own API path, there is a direction to follow. All seekers must extinguish the fires of-
-Ignorance - not knowing where your content is or how it is governed
-Short-sightedness - not realizing how temporary so many things are
-Compartmentalization - not taking advantage of the connecteness of all things

<a href=""http://bionicteaching.com/api-nirvana-functional-details/"">Blog post</a>"
"Reclaim Your Dance Party // API + Audio = (beats, visuals, internet, participate)",2017,June,Presentation,http://domains.reclaimhosting.com/itinerary/#day-one,Domains 2017,"<a href=""https://oet.sandcats.io/grain/ANRYAgPYnukWQQF7GByPy5/"">Playing with javascript and audio.</a>"
Just a Community Organizer: Visualizing Community for Domain of One's Own,2017,June,Presentation,http://domains.reclaimhosting.com/itinerary/#day-one,Domains 2017,"<a href=""https://docs.google.com/presentation/d/1YZbsPTL4wKlmS5hvhXZC8eIkUX4wBYjnFgK_K2SOOnI/edit#slide=id.p"">This presentation on knitting together Georgetown's Domain of One's Own</a> with <a href=""http://bionicteaching.com/community-technically-speaking/"">technology explained here</a>."
Running Multisite like a Boss,2017,June,Presentation,http://domains.reclaimhosting.com/itinerary/#day-two,Domains 2017,"<a href=""http://bionicteaching.com/running-multisite-like-a-boss/"">Running WP Multisite like a Boss</a> a quick tour of tips and tricks that help you run a very large multisite site with only one person."
